Var204_embed_0,Var204_embed_1,Var204_embed_2,Var204_embed_3,Var204_embed_4,Var204_embed_5,Var204_embed_6,Var204_embed_7,Var204_embed_8,Var204_embed_9,Var204_embed_10,Var204_embed_11,Var204_embed_12,Var204_embed_13,Var204_embed_14,Var204_embed_15,Var204_embed_16,Var204_embed_17,Var204_embed_18,Var204_embed_19,Var204_embed_20,Var204_embed_21,Var204_embed_22,Var204_embed_23,Var204_embed_24,Var204_embed_25,Var204_embed_26,Var204_embed_27,Var204_embed_28,Var204_embed_29,Var204_embed_30,Var204_embed_31,Var204_embed_32,Var204_embed_33,Var204_embed_34,Var204_embed_35,Var204_embed_36,Var204_embed_37,Var204_embed_38,Var204_embed_39,Var204_embed_40,Var204_embed_41,Var204_embed_42,Var204_embed_43,Var204_embed_44,Var204_embed_45,Var204_embed_46,Var204_embed_47,Var204_embed_48,Var204_embed_49,Var204
-0.05672307,-0.034178462,-0.003896657,0.06980373,-0.00032205752,0.004134724,0.059440773,0.012859346,0.024257153,-0.017352784,-0.049097396,0.050241835,0.024528299,0.059693575,-0.0076631703,-0.029232416,-0.02476163,0.05725775,0.02356388,-0.013797743,-0.015577041,-0.00019739705,-0.08101902,0.011186784,-0.07037116,0.009933241,-0.023040844,0.032200236,0.02336798,-0.038370393,0.06787881,-0.021587558,-0.0010771495,0.03335042,-0.06187572,0.015349263,-0.024477158,-0.06589475,-0.016379042,0.029667817,0.0073823817,0.053408146,0.01053192,-0.0028923813,0.031622253,0.049379624,-0.031678867,0.02589994,-0.0134217655,-0.0055358056,000J
0.0088666575,0.026124066,0.050355732,-0.015282423,0.06991689,0.021788929,0.027371595,0.01919238,-0.020301642,0.07402523,-0.013496011,0.075181946,-0.043275706,0.046597335,-0.07356013,-0.037437115,-0.012832621,-0.006958485,-0.07399082,0.0077883224,0.05985575,-0.061233874,-0.076498225,-0.024570525,0.019247826,-0.030025383,0.011021334,0.04857852,-0.007479772,-0.03155653,-0.01781171,-0.04175001,-0.03891817,0.03491088,-0.011275931,0.016522184,0.040530466,-0.055419292,0.036908392,-0.012565111,-0.051659353,0.067963354,-0.01602524,0.016108565,0.06536017,-0.02162278,-0.014284406,0.07150521,-0.010834972,-0.016608154,0A_v
-0.024715943,0.007857034,-0.019182684,-0.012437795,0.014853358,0.021701992,0.01252864,0.03358104,-0.020402217,0.04273884,0.016308317,0.03835057,-0.021605326,-0.021602044,0.011933185,-0.036149878,-0.019010687,0.015281226,-0.010189656,-0.014012365,-0.027002187,0.030540183,-0.0534943,0.045918822,-0.048174556,0.011705728,-0.053122785,0.035094157,-0.002131908,-0.019060949,-8.333754e-05,0.020900164,0.032609064,0.020704277,-0.026456976,0.010043344,0.022705048,-0.036125205,0.01815446,0.005440877,-0.031782866,-0.027008967,0.023041049,0.028680336,0.048567336,0.008458284,0.038696196,0.022837637,0.037933536,-0.029324943,15m3
-0.02197661,0.01756853,0.0031764966,0.046443254,0.048919577,-0.036005575,0.009795155,-0.022872197,0.0151473535,0.047766224,-0.042212643,-0.010234082,-0.018756669,0.020325845,-0.0832488,-0.02899956,-0.0051069693,-0.006489286,0.0023346029,-0.058057632,0.07435059,-0.07665326,-0.0038927519,-0.029478122,-0.028884849,0.037134867,0.0127427215,0.079148404,-0.01164536,-0.0025198106,-0.011748516,-0.03340734,-0.012398977,0.050943937,-0.041897986,-0.012554156,0.022719525,-0.060253255,0.04024071,0.025057314,-0.049871635,0.02145691,0.08181111,0.0014855384,0.040567257,-0.028633427,-0.018051645,0.057521623,0.005290524,-0.021772318,1Bp0
-0.044389237,-0.028085677,0.03791472,0.012614716,-0.0039238217,-0.06565409,0.08717831,0.04636238,0.054601334,0.028966045,-0.07202908,0.053976193,-0.046353742,0.02005888,-0.074193805,-0.011264563,-0.013657119,-0.04530232,-0.086386524,0.006351881,0.008601411,-0.07967719,-0.06336513,-0.07438904,-0.08888326,0.08051694,-0.07412708,0.07137067,0.030886287,-0.05637939,0.051455416,-0.09386189,0.00054287165,0.057435088,-0.00081194344,-0.005301367,0.008196219,-0.010217302,0.015432903,0.003121151,-0.060667273,0.022606472,0.068458036,-0.056835122,0.07270145,0.06105278,-0.06979506,0.0909872,0.053607814,-0.04490466,3NyY
-0.008120452,-0.0050111352,0.07942837,0.06543005,0.07947487,-0.057971593,-1.6387716e-05,-0.0036400983,-0.0068393964,0.037286866,-0.024574578,0.0651933,-0.06813519,-0.008814718,-0.037993133,0.008053222,-0.05250674,-0.033095106,-0.064513996,0.01018893,0.05639845,-0.082038224,-0.06808262,0.015385226,-0.015772926,0.050682455,0.0017544734,0.059475087,0.016640682,-0.08793252,0.08047711,-0.06261315,-0.06028613,0.048445243,0.004491384,0.046443813,0.03255919,-0.054857545,0.024755497,0.01060257,-0.04390008,0.028692707,0.04964725,0.0010421793,0.05706047,0.010999224,-0.06649398,0.0774278,0.030620351,-0.025674,47ra
-0.011939579,0.032412197,0.0046636076,-0.010846201,0.035032023,-0.039443918,0.059064288,-0.004904455,0.004506427,-0.022773547,-0.018814264,0.04999803,-0.029445972,0.050321802,0.016404137,-0.021508284,-0.025888905,0.008625114,0.016845834,-0.031897504,0.023268847,0.03253113,-0.053925198,0.006726152,-0.012920922,-0.010923921,0.017618783,0.022642937,0.031144401,0.017528933,-0.007910705,0.0074021104,-0.042304326,0.057928417,-0.023944907,0.011043967,-0.0060724453,-0.021937683,-0.027298914,0.052715495,-0.023559788,0.022575567,0.03316201,-0.027644565,0.04107634,-0.00015854216,0.0038375577,0.02957778,0.039471548,0.028828407,4N0K
-0.03295296,0.013890705,0.022013351,-0.008909532,0.0547192,-0.09614258,0.08244222,0.04274991,-0.0030549364,0.00091266213,-0.08018116,0.05826552,0.0050663,0.076311186,-0.019743476,-0.013205224,-0.05462518,-0.023796331,-0.06901311,-0.03992953,0.040515274,-0.07471738,-0.042149886,-0.016683582,0.008219636,-0.007795151,-0.00016131475,0.07706275,0.016455498,-0.08601791,0.073616266,0.0006872779,-0.013190103,0.02747798,-0.011625103,0.04406598,0.021216633,-0.072392434,-0.00872002,0.030197347,-0.088779904,0.083766736,0.06042677,-0.02884806,0.091802105,-0.0025284747,-0.057584822,0.08378558,0.07406616,-0.09088925,4nnx
-0.01490076,-0.007907038,0.038502466,0.01464756,-0.022590822,-0.011966833,-0.03146869,0.047665033,-0.003352684,-0.0141186705,-0.056935012,0.024376659,0.018628672,0.024181841,-0.012863249,0.03963401,0.028505236,-0.051931154,-0.018621035,-0.038568974,-0.01729575,-0.0077131772,-0.023777386,-0.038258947,0.007984497,-0.008292093,0.022952573,0.045730796,-0.03610837,-0.048310306,0.0095764855,0.017389813,0.0058529624,-0.038296312,-0.009734777,0.02372709,-0.016279459,-0.0071325162,0.045997407,0.053653464,-0.01542209,0.02081543,0.016015759,0.022135722,0.049358297,0.03640399,0.037270375,-0.03208451,0.042355064,-0.014901706,5euo
-0.013068648,0.0031357084,0.01671805,-0.0115373675,0.0085493075,-0.03664238,-0.04001442,0.05681407,0.016287016,-0.026285637,0.010283556,0.014244295,-0.06135653,0.030279417,-0.021446407,-0.05282707,-0.05391003,-0.06359881,-0.034786608,-0.056456577,-0.018656012,-0.05116868,-0.03413109,-0.020704469,-0.03221197,0.008377092,-0.055639762,-0.017862685,-0.0274929,0.006851176,-0.010000508,-0.017875295,0.006908676,0.02153023,-0.033224378,0.008575052,0.0023636033,-0.018884161,-0.020487575,-0.002023137,-0.064727165,-0.021949405,-0.028997889,-0.025814006,0.03303287,0.060623255,0.035944473,-0.016955135,0.06874456,0.009084259,6Kw9
-0.0018874882,-0.0010259607,0.046981994,0.010706575,-0.020166805,0.018154608,0.045828115,0.0356015,0.028856318,0.02938439,-0.033544958,0.0012892588,-0.046485458,0.014842818,0.009053826,0.04794629,-0.01519533,0.015912566,0.020236887,0.019596023,-0.041689973,0.043330744,-0.008021497,-0.02079687,0.0201623,0.04474733,-0.048565876,-0.008299254,0.055726904,-0.020086652,0.012573787,-0.047955193,-0.03344978,-0.025712572,0.0029543806,-0.024734221,0.026122537,-0.015440221,0.028259793,-0.035203755,0.029442348,0.056975514,-0.002550033,-0.018053424,0.017777001,0.0068753124,-0.037052583,0.007510765,-0.021399416,-0.0030349116,6TCl
-0.059820026,-0.005752642,0.032267682,0.062469024,0.05130856,-0.041305054,0.016853306,0.03160855,-0.021461422,0.008702356,-0.030867608,-0.03214339,-0.053147003,-0.024366053,-0.03587636,-0.022587797,-0.008857422,0.0051180185,-0.040675927,-0.050873674,-0.016174186,0.033806562,-0.022819096,-0.03779345,-0.009882208,-0.005333114,0.020972796,-0.007153277,-0.022364663,-0.009996472,0.015272882,-0.021132419,-0.04429658,-0.03132522,-0.045040004,-0.0013125441,-0.023494963,-0.02707845,0.052298587,-0.005651076,-0.04774392,0.042927463,0.002409911,0.014402094,0.060152613,0.02210148,0.011820028,0.06273141,0.055510424,-0.02545938,7JiV
-0.012784546,0.009536469,0.04981886,-0.024927836,0.06900971,0.00404104,-0.030570047,0.008121022,-0.01731197,0.024547478,-0.070077956,0.016771834,-0.035973288,-0.026169153,0.0071742744,0.019001072,-0.0040776315,0.052479196,-0.027714243,-0.04493014,0.033523753,0.022611145,-0.05990145,-0.01796166,-0.027633756,0.026164243,-0.074435435,0.02724178,-0.01686146,0.008735617,0.063144684,-0.04024671,-0.07603758,0.03686849,-0.05161415,0.027736522,0.016480204,-0.019435698,0.004745711,-0.032546483,-0.06974491,0.061087437,-0.008315346,-0.04510458,-0.022996312,-0.0219719,0.014311129,0.033463184,0.011349235,-0.03903641,7WNq
0.002379146,0.012074297,0.018851487,0.036867883,0.0063835224,-0.013480791,0.06994061,0.03923768,-0.032313745,0.010506741,-0.00051753706,-0.008327099,0.010732157,0.042164017,-0.021543479,-0.007120928,-0.030781683,-0.03454626,-0.0092759365,0.00025896676,0.031750593,0.029484827,-0.02758969,0.011390949,0.025398111,0.036332794,0.014722997,0.015901264,0.008314579,0.0005827351,-0.00792874,-0.006545635,-0.017384635,-0.02786568,-0.06361624,-0.018431641,0.05874018,-0.052125406,0.02668199,0.052649952,-0.048325345,-0.006056033,-0.019673463,-0.019390985,-0.024942566,-0.012586157,0.029180678,0.011626043,0.048492517,-0.00841193,7pVf
