min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS,Validation_Best_Score
0.13218663998182079,0.6401980213227167,1500.0,2000.0,58.46%,6.17%,58.46%,6.17%,52.3,
0.08250025964054043,0.13212695011598538,470.0,3030.0,18.32%,9.34%,76.77%,15.51%,61.3,
0.06478333026044626,0.08249849898500548,212.0,3288.0,8.26%,10.14%,85.04%,25.65%,59.399998,
0.055406695546236256,0.06477225111503379,121.0,3379.0,4.72%,10.42%,89.75%,36.06%,53.7,
0.05078222482286988,0.05540366477624377,79.0,3421.0,3.08%,10.55%,92.83%,46.61%,46.2,
0.0482090544282587,0.05078136827275745,53.0,3444.0,2.07%,10.62%,94.89%,57.23%,37.7,
0.046652077930724546,0.04820867740212691,59.0,3444.0,2.30%,10.62%,97.19%,67.85%,29.300001,
0.04567571685395469,0.0466510630231292,32.0,3468.0,1.25%,10.69%,98.44%,78.54%,19.9,
0.04496922559090092,0.04567514934384182,28.0,3468.0,1.09%,10.69%,99.53%,89.23%,10.3,
0.04375388553301304,0.04496922272919491,12.0,3492.0,0.47%,10.77%,100.00%,100.00%,0.0,
